ChLabel	X3	Y3	Z3	X2	Y2
'E228'	7.38028	1.35743	-7.84943	1.306724803	0.154168201
'E229'	6.86103	-0.14155	-9.14913	1.397349995	-0.127952382
'E230'	6.74159	5.9908	-5.83258	0.909080589	0.742209251
'E231'	7.22458	4.14855	-6.88918	1.107463765	0.561328989
'E232'	7.31422	3.19647	-8.44268	1.243147994	0.46056109
'E233'	7.09051	1.66694	-9.77213	1.393996005	0.232035473
'E234'	5.8875	7.22674	-6.54736	0.787850043	0.901934744
'E235'	6.65934	5.64059	-7.65729	0.999926735	0.773877351
'E236'	6.75138	4.62427	-9.0307	1.147443295	0.703208374
'E237'	6.58044	3.33743	-10.39707	1.320206575	0.571930219
'E238'	4.69146	8.22723	-6.7826	0.624359766	1.030143175
'E239'	5.81346	6.42065	-8.65026	0.918372935	0.937407168
'E240'	6.04363	5.37051	-9.81363	1.07735269	0.870600259
'E241'	-4.69146	8.22723	-6.7826	-0.624359766	1.030143175
'E242'	-5.81346	6.42065	-8.65026	-0.918372935	0.937407168
'E243'	-6.04363	5.37051	-9.81363	-1.07735269	0.870600259
'E244'	-5.8875	7.22674	-6.54736	-0.787850043	0.901934744
'E245'	-6.65934	5.64059	-7.65729	-0.999926735	0.773877351
'E246'	-6.75138	4.62427	-9.0307	-1.147443295	0.703208374
'E247'	-6.58044	3.33743	-10.39707	-1.320206575	0.571930219
'E248'	-6.74159	5.9908	-5.83258	-0.909080589	0.742209251
'E249'	-7.22458	4.14855	-6.88918	-1.107463765	0.561328989
'E250'	-7.31422	3.19647	-8.44268	-1.243147994	0.46056109
'E251'	-7.09051	1.66694	-9.77213	-1.393996005	0.232035473
'E252'	-7.24346	4.8012	-4.77214	-0.974368853	0.580373801
'E253'	-7.62652	3.24782	-4.40493	-1.058034124	0.383052714
'E254'	-7.55603	2.52648	-6.26962	-1.179861089	0.318508139
'E255'	-7.38028	1.35743	-7.84943	-1.306724803	0.154168201
'E256'	-6.86103	-0.14155	-9.14913	-1.397349995	-0.127952382
'Cz'	0	0	9.68308	2.96E-18	-0.048418877
